1,Willow,Campes,25857 Loftsgordon Trail,Lawrenceville,GA,30045,7703466394,wcampes0@paypal.com,251.42,7472.15
2,Ruby,O'Regan,5 Huxley Alley,Juneau,AK,99812,9079029516,roregan1@pbs.org,1779.55,6671.08
3,Selma,Clappson,97 Corscot Road,Virginia Beach,VA,23471,7571135143,sclappson2@npr.org,1767.57,2268.85
4,Lennard,Gresswood,93 Westport Center,Herndon,VA,22070,7574063582,lgresswood3@cmu.edu,9516.44,6599.25
5,Hugo,Bemrose,70 Meadow Ridge Crossing,Atlanta,GA,30386,4046912093,hbemrose4@stumbleupon.com,7918.31,9230.17
6,Ginny,Ambrogetti,40229 Dakota Drive,Phoenix,AZ,85045,4808822075,gambrogetti5@examiner.com,8014.32,2068.43
7,Cully,Oven,469 West Circle,Baltimore,MD,21239,4438512885,coven6@booking.com,1017.11,1540.02
8,Valle,Fawloe,3939 Upham Junction,Boise,ID,83716,2083567674,vfawloe7@last.fm,7658.01,2124.12
9,Romola,Cressor,15275 Cardinal Place,Fresno,CA,93726,2096560679,rcressor8@rakuten.co.jp,9507.69,4723.89
10,Cissiee,Palmer,2 Manley Junction,Richmond,VA,23260,8041642310,cpalmer9@ted.com,5709.17,6870.09
